Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	1	0
OG0000001	3	2
OG0000002	1	1
OG0000003	0	0
OG0000004	0	0
OG0000005	0	0
OG0000006	0	0
OG0000007	0	0
OG0000008	0	0
OG0000009	0	0
OG0000010	0	0
OG0000011	0	0
OG0000012	0	0
OG0000013	0	0
OG0000014	0	0
OG0000015	0	0
OG0000016	0	0
OG0000017	0	0
OG0000018	0	0
OG0000019	0	0
OG0000020	0	0
OG0000021	0	0
OG0000022	0	0
OG0000023	0	0
OG0000024	0	0
OG0000025	0	0
OG0000026	0	0
OG0000027	0	0
OG0000028	0	0
OG0000029	0	0
OG0000030	0	0
OG0000031	0	0
OG0000032	0	0
OG0000033	0	0
OG0000034	0	0
OG0000035	0	0
OG0000036	0	0
OG0000037	0	0
OG0000038	0	0
OG0000039	0	0
OG0000040	0	0
OG0000041	0	0
OG0000042	0	0
OG0000043	0	0
OG0000044	0	0
OG0000045	0	0
OG0000046	0	0
OG0000047	0	0
OG0000048	0	0
OG0000049	1	1
OG0000050	0	0
OG0000051	0	0
OG0000052	0	0
OG0000053	0	0
OG0000054	0	0
OG0000055	0	0
OG0000056	0	0
OG0000057	0	0
OG0000058	0	0
OG0000059	0	0
OG0000060	0	0
OG0000061	0	0
OG0000062	0	0
OG0000063	0	0
OG0000064	0	0
OG0000065	0	0
OG0000066	0	0
OG0000067	0	0
OG0000068	0	0
OG0000069	0	0
OG0000070	0	0
OG0000071	0	0
OG0000072	0	0
OG0000073	0	0
OG0000074	0	0
OG0000075	0	0
OG0000076	0	0
OG0000077	3	3
